date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:34	2923/2923	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2009:32:47%20GMT	https://hub.spigotmc.org/javadocs/bukkit/index.html?overview-summary.html	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/indexe0d5.html	(from )
19:04:34	138/138	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Sep%202018%2016:04:36%20GMT	https://hub.spigotmc.org/robots.txt		(from )
19:04:34	16705/16705	---MCZ	200	added ('OK')	text/css	etag:W/%225b8a5cbf-552a%22	https://hub.spigotmc.org/javadocs/bukkit/stylesheet.css	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/stylesheet.css	(from https://hub.spigotmc.org/javadocs/bukkit/index.html?overview-summary.html)
19:04:34	21490/21490	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2009:32:47%20GMT	https://hub.spigotmc.org/javadocs/bukkit/overview-summary.html	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/overview-summary.html	(from https://hub.spigotmc.org/javadocs/bukkit/index.html?overview-summary.html)
19:04:35	6671/6671	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2009:32:47%20GMT	https://hub.spigotmc.org/javadocs/bukkit/overview-frame.html	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/overview-frame.html	(from https://hub.spigotmc.org/javadocs/bukkit/index.html?overview-summary.html)
19:04:35	134060/134060	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2009:32:47%20GMT	https://hub.spigotmc.org/javadocs/bukkit/allclasses-frame.html	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/allclasses-frame.html	(from https://hub.spigotmc.org/javadocs/bukkit/index.html?overview-summary.html)
19:04:35	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Sep%202018%2016:04:37%20GMT	https://hub.spigotmc.org/javadocs/bukkit/resources/fonts/dejavu.css	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/resources/fonts/dejavu.css	(from https://hub.spigotmc.org/javadocs/bukkit/stylesheet.css)
19:04:35	366/366	---M--	200	added ('OK')	image/png	etag:%225b8a5cbf-1f3%22	https://hub.spigotmc.org/javadocs/bukkit/resources/glass.png	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/resources/glass.png	(from https://hub.spigotmc.org/javadocs/bukkit/stylesheet.css)
19:04:36	244/244	---M--	200	added ('OK')	image/png	etag:%225b8a5cbf-18a%22	https://hub.spigotmc.org/javadocs/bukkit/resources/x.png	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/resources/x.png	(from https://hub.spigotmc.org/javadocs/bukkit/stylesheet.css)
19:04:36	16657/16657	---MCZ	200	added ('OK')	text/css	etag:W/%225b8a5cbf-4c07%22	https://hub.spigotmc.org/javadocs/bukkit/jquery/jquery-ui.css	D:/jdocs/javadocs/hub.spigotmc.org/javadocs/bukkit/jquery/jquery-ui.css	(from https://hub.spigotmc.org/javadocs/bukkit/overview-summary.html)
